,name,latitude,longitude,delivery_review_number,location
639,Chellam Hotel,13.0162995462,77.7108143270,870,"KR Puram, Bangalore"
640,Nevesa Bites,12.9631218000,77.7073812000,883,"Marathahalli, Bangalore"
641,Kaafi Desi,12.9486797000,77.7163298000,30.6K,"Marathahalli, Bangalore"
642,Chai Point,12.9640023822,77.7125963196,14.4K,"Brookefield, Bangalore"
643,Mrs Iyengar's Kitchen - Authentic Iyengar's Cuisine,13.0037175147,77.7119810879,"4,591","KR Puram, Bangalore"
644,Cothas Coffee,13.0183771050,77.7622282505,1,"Whitefield, Bangalore"
645,FB Cakes,12.9565120000,77.6965090000,907,"Marathahalli, Bangalore"
646,Keventers Ice Cream,12.9974847604,77.6967930794,209,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
647,Meat And Eat,12.9527530051,77.7003069162,565,"Marathahalli, Bangalore"
648,Nandi Iyengars Cake Palace,12.9524878120,77.7069489285,329,"Marathahalli, Bangalore"
649,Sendhoor Coffee,12.9938494000,77.7015728000,"1,294","KR Puram, Bangalore"
650,Nirvana Foods,12.9643287856,77.7178346738,145,"Brookefield, Bangalore"
651,Sri Udupi Park,12.9825158682,77.7484081686,"6,524","Whitefield, Bangalore"
652,Hotel Salala,12.9593947883,77.7138841152,"1,460","Brookefield, Bangalore"
653,Kerala Kafe,12.9707107192,77.7516740933,54,"Whitefield, Bangalore"
654,Desi Zing,12.9510370580,77.7144024521,0,"Marathahalli, Bangalore"
655,Grills N Seeds,,,0,"Whitefield, Bangalore"
